id_bien,adresse,surf_carrez,nb_lot,type_local,surf_reelle,nb_piece,idcom
78643D20741,22  RUE FRANCOIS TRUFFAUT,96,1,Maison,95,5,2394
78498BC546176,104  RUE DE LA BRUYERE,62.67,2,Appartement,62,3,2385
78551AV1013,179  RUE DU PDT ROOSEVELT,37.34,2,Appartement,40,2,2382
78172AW24713,6  ALL DES AMETHYSTES,103,1,Maison,103,5,2378
78551AD1446,110  AV MARECHAL FOCH,23.1,1,Appartement,19,1,2382
78551AS255727,26  AV SAINT FIACRE,49.52,1,Appartement,49,2,2382
78123AM7051035,413  RUE DANIEL BLERVAQUE,55.69,1,Appartement,55,3,2388
78481AE3646,13  AV DE VERDUN,81.75,1,Maison,61,3,2380
78672AM275270,142  AV GEORGES CLEMENCEAU,25.01,1,Appartement,25,1,2393
78498AW24143,18  RUE JEAN CLAUDE MARY,55.37,2,Appartement,55,3,2385
78551AM7635,10  RUE FELICIEN DAVID,62.47,2,Appartement,56,3,2382
78551AV2331,42  RUE ST LEGER,62.47,2,Appartement,56,3,2382
78642AB26436,3  RUE PAUL GAUGUIN,96.84,1,Maison,97,5,2389
7815AM47229,14  RUE DES BASSES GAUDINES,97.48,1,Maison,99,5,2381
78172AP9706,20  PL DE LA LIBERTE,80.08,1,Appartement,76,4,2378
78498AT1187,1  RUE JEAN CLAUDE MARY,20.78,1,Appartement,24,1,2385
78481AN20328,1 B RUE BELLAVOINE,67.41,2,Appartement,66,4,2380
78466AT3437,8  ALL DES COQUELICOTS,192.96,1,Maison,186,7,2383
78643AE1892,4  IMP LA ROCHELLE,38.6,2,Appartement,37,2,2394
78172AB4767,1  RUE LOUIS NOGUERES,74.27,1,Maison,76,4,2378
78551AT8453,4  RUE CESAR FRANCK,75.33,1,Appartement,67,3,2382
78551AD2535,20  RUE DE NOAILLES,78.89,2,Appartement,78,3,2382
78551AI6242,9  RUE DU GAST,27.5,1,Appartement,35,2,2382
78551AC1299,84  RUE LEON DESOYER,27.69,1,Appartement,29,1,2382
78624AH285191,30   DOMAINE DE CHEVERCHEMONT,194.22,1,Maison,180,7,2386
78551AS255457,64  RUE DE L AURORE,18.7,1,Appartement,19,1,2382
78138AL21118,4  RUE DES FEUCHERETS,47.83,2,Appartement,48,2,2397
78466AI3018,18  ALL DES PRES DU HAUT,87.42,1,Maison,78,5,2383
78172AL738153,10  ALL YVETTE ET MAURICE GENEST,32.23,1,Appartement,37,2,2378
78551AT845131,3  RUE CESAR FRANCK,91.81,1,Appartement,90,5,2382
78133AB39154,23  ALL DU TOURNOI,78.86,1,Appartement,75,3,2402
78551AT845105,1  RUE CESAR FRANCK,80.55,1,Appartement,78,4,2382
78672AK16814,3  ALL DU CHATEAU DE MIGNEAUX,26.09,1,Appartement,26,1,2393
78172AL62350,2  ALL DES ARCADES,62.28,2,Appartement,62,3,2378
78172AW99624,20  RES LES ORMES,56.61,2,Appartement,57,3,2378
78123AS91824,534  ALL PAUL DENIS HUET,79.63,1,Maison,75,4,2388
78643AD8721,6  AV DU CHATEAU,45.05,2,Appartement,45,3,2394
78551AT108313,24  BD FRANZ LISTZ,170.99,1,Maison,185,7,2382
